Page #	Entry	Type	Wikidata ID	Notes	Annotator	Visited place	BB visited place	
273	Bernhard	person	Q359047		IT			
137	the Palazzo Rezzonico	organization			ERW			
273	Bernhard	person	Q359047		IT			
274	Bernhard	person	Q359047		IT			
276	Bernhard	person	Q359047		IT			
277	Bernhard	person	Q359047		IT			
277	Bernhard	person	Q359047		IT			
138	Guggenheim	organization	Q1049033		IT			
278	Bernhard	person	Q359047		IT			
278	Bernhard	person	Q359047		IT			
279	Bernhard	person	Q359047		IT			
279	Bernhard	person	Q359047		IT			
279	Bernhard	person	Q359047		IT			
280	Bernhard	person	Q359047		IT			
280	Bernhard	person	Q359047		IT			
138	S. Giorgio	location	Q126327	Venice	ERW	TRUE	FALSE	
280	Bernhard	person	Q359047		IT			
281	Bernhard	person	Q359047		IT			
139	Academy	organization	Q338330		IT			
139	Academy	organization	Q338330		IT			
281	Bernhard	person	Q359047		IT			
281	Bernhard	person	Q359047		IT			
139	Campanile	location	Q1864226		IT	TRUE	TRUE	
139	Correr	organization	Q1470912		IT			
285	Bernhard	person	Q359047		IT			
139	Doge	organization	Q189883		IT			
139	Florian’s	organization	Q960610		IT			
139	Giacomo in Orio	organization	Q1150698		IT			
285	Bernhard	person	Q359047		IT			
286	Bernhard	person	Q359047		IT			
286	Bernhard	person	Q359047		IT			
288	Bernhard	person	Q359047		IT			
288	Bernhard	person	Q359047		IT			
139	S. Giorgio Maggiore	location	Q126327	Venice	ERW	TRUE	FALSE	
139	S. Giovanni Elemosinario	organization	Q1543347	Venice	ERW			
139	S. Maria Mater Domini	location	Q520477	Venice	ERW	TRUE	FALSE	
289	Bernhard	person	Q359047		IT			
290	Bernhard	person	Q359047		IT			
139	Salute	organization			ERW			
140	Afternoon Doge’s	location	Q189883		IT	TRUE	TRUE	
140	Correr	organization	Q1470912		IT			
290	Bernhard	person	Q359047		IT			
140	Gesuiti	organization	Q1093909		IT			
290	Bernhard	person	Q359047		IT			
291	Bernhard	person	Q359047		IT			
291	Bernhard	person	Q359047		IT			
140	S. Canciano	location	Q1400212	Venice	ERW	TRUE	FALSE	
140	S. Gallo	location	Q3585339	Venice	ERW	TRUE	FALSE	
140	S. Giovanni Crisostomo	location	Q915746	Venice	ERW	TRUE	FALSE	
140	S. Giuseppe di Castello	organization	Q938556	Venice	ERW			
140	S. Luca	organization	Q3585362	Venice	ERW			
140	S. Maria	location	Q520477	Venice	ERW	TRUE	FALSE	
291	Bernhard	person	Q359047		IT			
140	Santa 〈Maria	organization			ERW			
292	Bernhard	person	Q359047		IT			
292	Bernhard	person	Q359047		IT			
140	Vacina	location	N/A		ERW	TRUE	TRUE	
141	Academy	organization	Q338330		IT			
293	Bernhard	person	Q359047		IT			
293	Bernhard	person	Q359047		IT			
293	Bernhard	person	Q359047		IT			
294	Bernhard	person	Q359047		IT			
294	Bernhard	person	Q359047		IT			
295	Bernhard	person	Q359047		IT			
141	Costa at S. Giovanni Crisostomo	organization	Q3725701		IT			
295	Bernhard	person	Q359047		IT			
295	Bernhard	person	Q359047		IT			
141	S. Giuliano	organization	Q3670591	Venice	ERW			
296	Bernhard	person	Q359047		IT			
297	Bernhard	person	Q359047		IT			
298	Bernhard	person	Q359047		IT			
298	Bernhard	person	Q359047		IT			
298	Bernhard	person	Q359047		IT			
142	Botti	organization	Q5669		IT			
299	Bernhard	person	Q359047		IT			
300	Bernhard	person	Q359047		IT			
301	Bernhard	person	Q359047		IT			
301	Bernhard	person	Q359047		IT			
142	Costas	organization	Q3725701		IT			
142	Hotel Croce	organization		No wikidata	IT			
142	S. Cassiano	location	Q3585323	Venice	ERW	TRUE	FALSE	
302	Bernhard	person	Q359047		IT			
303	Bernhard	person	Q359047		IT			
303	Bernhard	person	Q359047		IT			
303	Bernhard	person	Q359047		IT			
305	Bernhard	person	Q359047		IT			
305	Bernhard	person	Q359047		IT			
306	Bernhard	person	Q359047		IT			
306	Bernhard	person	Q359047		IT			
307	Bernhard	person	Q359047		IT			
307	Bernhard	person	Q359047		IT			
146	Hotel Croce	organization		No wikidata	IT			
146	Montagnana	location	Q34605		ERW	TRUE	FALSE	
308	Bernhard	person	Q359047		IT			
146	the Church of St. Antony	organization			ERW			
309	Bernhard	person	Q359047		IT			
146	Vanzo	location	Q4008661		ERW	TRUE	FALSE	
147	Monselice	location	Q34602		ERW	TRUE	FALSE	
310	Bernhard	person	Q359047		IT			
148	Monselice	location	Q34603		ERW	TRUE	FALSE	
148	Monselice	location	Q34604		ERW	TRUE	FALSE	
148	Montagnana	location	Q34605		ERW	TRUE	FALSE	
148	Montagnara	location	Q34605		ERW	TRUE	FALSE	
310	Bernhard	person	Q359047		IT			
311	Bernhard	person	Q359047		IT			
311	Bernhard	person	Q359047		IT			
311	Bernhard	person	Q359047		IT			
311	Bernhard	person	Q359047		IT			
149	Montagnana	location	Q34605		ERW	TRUE	FALSE	
149	Montagnana	location	Q34605		ERW	TRUE	FALSE	
150	Croce d’Oro	organization		Hotel, no wikidata	IT			
311	Bernhard	person	Q359047		IT			
150	the Church of S. Antonio	organization			ERW			
312	Bernhard	person	Q359047		IT			
312	Bernhard	person	Q359047		IT			
152	Hotel della Spada	organization		No wikidata	IT			
312	Bernhard	person	Q359047		IT			
152	Palladio	location	Q18498469		ERW	TRUE	FALSE	
152	the Loschi Giorgione	organization			ERW			
312	Bernhard	person	Q359047		IT			
314	Bernhard	person	Q359047		IT			
315	Bernhard	person	Q359047		IT			
316	Bernhard	person	Q359047		IT			
317	Bernhard	person	Q359047		IT			
319	Bernhard	person	Q359047		IT			
319	Bernhard	person	Q359047		IT			
